domain,sent,reply_rate,replies
itss-imannntv365.com,410,1.46,3
itss-imannntvdigital.com,411,2.03,4
proitssimannntv.com,1240,1.52,9
itss-imannntvonline.com,409,0.86,2
itss-imannntvapp.com,405,0.00,0
useitssimannntv.com,1456,1.23,8
itss-imannntv24.com,412,0.93,2
teamitssimannntv.com,540,0.30,1
myitssimannntv.com,1432,1.07,7
itss-imannntvsite.com,409,0.47,1
itss-imannntvzone.com,411,0.43,1
goitss-imannntv.com,411,2.25,5
itss-imannntvcloud.com,408,0.80,2
itss-imannntvspace.com,410,0.45,1
getitss-imannntv.com,410,1.23,3
the365itss-imannntv.com,408,1.37,3
itss-imannntvweb.com,412,2.88,7
helloitssimannntv.com,1048,1.36,7
itss-imannntvsolutions.com,409,1.38,3
goitssimannntv.com,1376,2.50,16
itssimannntv.com,137,1.37,1
itss-imannntvstudio.com,411,0.47,1
joinitss-imannntv.com,410,0.96,2
smartitssimannntv.com,1161,0.74,4
theitss-imannntv.com,411,3.17,7
getitssimannntv.com,1328,0.34,2
itss-imannntv.com,411,0.42,1
itss-imannntvpro.com,410,0.00,0
proitss-imannntv.com,411,3.77,8
