campaign_name,vertical,total_sent,total_replies,positive,booked,not_interested,ooo,positive_rate,booking_rate,reply_rate
"Imman - Vid Editing | 1M | 1-2Y | GOOGLE",video,103,2,0,0,0,0,0.00,0.00,0.18
"Imann 2nd campaign BROAD GOOGLE",other,13668,498,49,29,34,371,9.84,5.82,5.3
"Reac 1st | AL Past Campaign | B2C | BROAD | HYPERTIDE",reactivation,3608,49,3,3,4,20,6.12,6.12,0.79
"Imman Leads 1M 2M Gaming Crunchbase",gaming,5769,92,8,1,16,59,8.70,1.09,2.31
"Reac 2nd | AL Past Campaign | B2C | BROAD | HYPERTIDE",reactivation,3551,51,10,5,4,26,19.61,9.80,0.62
"Imman - Gaming | Tech | 1M | 3-5Y | BROAD GOOGLE",gaming,826,5,0,0,1,4,0.00,0.00,0.51
"Imann 5th - Crunchbase | crypto |  all | 3m funding | last 2 y | HYPERTIDE | BROAD B2C",other,406,8,5,5,0,3,62.50,62.50,4.81
"Imann gaming studios and more EXA",gaming,5687,141,41,30,17,62,29.08,21.28,2.23
"Imann 9th - Crunchbase | apps |  all | 3m funding | last 2 y | B2C BROAD HYPERTIDE",apps,2391,42,19,10,2,8,45.24,23.81,3.17
"Imann 7th - YCOMBINATOR | B2C BROAD MID HYPERTIDE",other,776,25,5,5,7,4,20.00,20.00,4.33
"Reac 3rd | AL Positive Response | HYPERTIDE",reactivation,1308,48,29,29,5,4,60.42,60.42,6.33
"Imann 3rd - Crunchbase | Gaming |  all | 3m funding | last 2 y | B2C BROAD HYPERTIDE",gaming,581,8,0,0,0,8,0.00,0.00,5.41
"Imann 4th - Crunchbase | AI |  all | 3m funding | last 2 y | B2C BROAD HYPERTIDE",other,786,17,3,1,0,14,17.65,5.88,5.97
"Imann 8th - Crunchbase | edu |  all | 3m funding | last 2 y | B2C BROAD HYPERTIDE",education,502,9,6,2,0,3,66.67,22.22,1.74
"Imann 6th - Cb | comm. lifestyle|  all | 3m funding | last 2 y | B2C BROAD HYPERTIDE",other,370,5,2,2,1,1,40.00,40.00,2.33
